method,global_R2,mean_gene_R2,median_gene_R2
NNLS_pseudo_bulk,0.38644832372665405,-0.8032286038653831,-0.05279630422592163
DestVI,0.35141581296920776,-0.8270256630444931,-0.07625824213027954
DestVI,0.3670332431793213,-0.8350987695473231,-0.048681437969207764
